	English	Japanese (日本語)	Vietnam	Portuguese	Russian	Spanish	French	German	Turkish	Korean	Chinese Simplified	Chinese Traditional
5061	Later	Later	Later	Mais tarde	Позже	Más tarde	Plus tard	Später	Daha Sonra			
5062	Favorite	Favorite	Favorite	Favorito	Избранное	Favorito	Favoris	Favorit	Favori			
5063	Click here to compare your score to all users	Click here to compare your score to all users	Click here to compare your score to all users	Click here to compare your score to all users	Click here to compare your score to all users	Click here to compare your score to all users	Click here to compare your score to all users	Click here to compare your score to all users	Diğer tüm kullanıcılar ile skorunuzu kıyaslamak için buraya tıklayabilirsiniz.			
5064	Purchased	Purchased	Purchased	Comprado	Куплено	Comprado	Acheté	Gekauft	Satın alındı			
5065	You need higher level\n to unlock this track	You need higher level\n to unlock this track	You need higher level\n to unlock this track	Você precisa de um maior nível para desbloquear esta música	Чтобы открыть эту песню,\nнужен уровень выше	Necesita un nivel superior \ n para desbloquear esta pista	Vous n'avez pas le niveau requis pour débloquer cette chanson	Du benötigst ein höheres Level zum freischalten dieses Tracks	Bu şarkıyı açmak için\n daha yüksek seviyede olman lazım.			
5066	Multiplayer	Multiplayer	Multiplayer	Multiplayer	С др. игроками	Multijugador	Multijoueur	Mehrspieler	Çok Oyunculu			
5067	Random	Random	Random	Aleatório	Случайно	Aleatorio	Aléatoire	Zufällig	Rastgele			
5068	More songs	More songs	More songs	Mais músicas	Больше песен	Más canciones	Plus de chansons	Mehr Songs	Daha fazla şarkı			
5069	Select	Select	Select	Selecionar	Выбрать	Seleccionar	sélectionner	Auswählen	Seç			
5070	Create	Create	Create	Criar	Создать	Crear	Créer	Erstelle	Yarat			
5071	Log in	Log in	Log in	Entrar	Авторизоваться	Iniciar sesión	S'identifier	Einloggen	Oturum aç			
5072	You	You	You	você	вы	Tú	Toi	Sie	Sen			
5073	Congratulations on buying these charts. \nEnjoy!	Congratulations on buying these charts. \nEnjoy!	Congratulations on buying these charts. \nEnjoy!	Parabéns pela compra desses gráficos. \nDesafeite!	Поздравляем с покупкой этих карт. \nНаслаждайтесь!	Felicitaciones por comprar estos gráficos. ¡Disfrutalos!	Félicitations pour l'achat de ces cartes. \ NProfitez!	Herzlichen Glückwunsch zu diesen Diagrammen zu kaufen. \ NEnjoy!	bu çizelgeleri satın tebrikler. \ NEnjoy!			
5074	Explore	Explore	Explore	Explorar	Исследовать	Explorar	Explorer	Erforschen	Keşfetmek			
5075	Buy	Buy	Buy	Comprar	Kупить	Comprar	Acheter	Kaufen	satın almak			
5076	Shop	Shop	Shop	Loja	Магазин	Tienda	Boutique	Geschäft	Dükkan			
5077	Billboard	Billboard	Xếp Hạng	Classificações	Pекламный щит	Cartelera	Panneau d'affichage	Ranglisten	İlan panosu			
5078	Pause	Pause	Pause	Pausa	Пауза	Pausa	Pause	Pause	durma			
5079	Login to see your ranking and your friend	Login to see your ranking and your friend	Login to see your ranking and your friend	Login to see your ranking and your friend	Login to see your ranking and your friend	Login to see your ranking and your friend	Login to see your ranking and your friend	Login to see your ranking and your friend	Login to see your ranking and your friend			
5080	As we load music from Youtube, you need to install Youtube Application to play this game. After downloading please restart the game and enjoy!	As we load music from Youtube, you need to install Youtube Application to play this game. After downloading please restart the game and enjoy!	As we load music from Youtube, you need to install Youtube Application to play this game. After downloading please restart the game and enjoy!	À medida que carregar música do Youtube, você precisa instalar Youtube Aplicação para jogar este jogo. Após o download, por favor reinicie o jogo e divirta-se!	Как загрузить музыку с Youtube, вам необходимо установить Youtube приложение, чтобы играть в эту игру. После загрузки, пожалуйста, перезагрузите игру и наслаждайтесь!	Como cargamos la música desde Youtube, debes instalar la aplicación Youtube para jugar a este juego. Después de descargar, por favor reinicie el juego y a disfrutar!	Comme nous charger de la musique de Youtube, vous devez installer Youtube Application à jouer à ce jeu. Après avoir téléchargé le jeu s'il vous plaît redémarrer et amusez-vous!	Wie wir Musik von Youtube zu laden, müssen Sie YouTube-Anwendung zu spielen, dieses Spiel zu installieren. Nach dem Herunterladen bitte das Spiel neu starten und genießen!	Youtube'dan müzik yüklemek gibi, bu oyunu oynamak için Youtube Uygulamasını yüklemeniz gerekir. indirdikten sonra oyunu yeniden başlatın ve tadını çıkarın lütfen!			
5081	DOWNLOAD NOW	DOWNLOAD NOW	DOWNLOAD NOW	BAIXE AGORA	СКАЧАТЬ СЕЙЧАС	DESCARGAR AHORA	TÉLÉCHARGER MAINTENANT	JETZT HERUNTERLADEN	ŞİMDİ İNDİRİN			
5082	Profile	Profile	Profile	Perfil	Профиль	Profile	Profil	Profile	Profil			
5083	Details	Details	Details	Detalhes	Детали	Details	Détails	Details	Ayrıntılar			
5084	Friend	Friend	Friend	Amigos	Друг	Friend	Amigo	Friend	Arkadaş			
5085	Statistics	Statistics	Statistics	Estatisticas	Статистика	Statistics	Estatísticas	Statistics	Istatistik			
5086	All	All	All	Todos	Все	Todas	Tudo	Alle	Hepsi			
5087	Game	Game	Game	Jogos	Игра	Juego	Jogos	Spiel	Oyun			
5088	Request	Request	Request	Pedido	Запрос	Solicitud	Solicitar	Anfordern	İste			
5089	GET MORE RUBIES	BUY RUBIES	BUY RUBIES	Compre Rubies	BUY RUBIES	Comprar Rubies		KAUFE RUBINE	ELMAS SATIN AL			
5090	Player	Player	Player	Player	Player	Jugador		Spieler	Oyuncu			
5091	Invitation	Invitation	Invitation	Convidar	Invitation	Invitar		Einladen	Davet			
5092	Place Bet	Place Bet	Place Bet	Faça Aposta	Place Bet	Porfavor apuesta		Wetteinsatz festlegen	Bahis koy			
5093	Speed	Speed	Speed	Velocidade	Speed	Velocidad		Geschwindigkeit	Hız			
5094	No Record Found	No Record Found	No Record Found	Nenhum registro encontrado	No Record Found	Ningún record fue encontrado		Kein Aufnahme gefunden	Kayıt bulunamadı!			
5095	Level up!	Level up!	Level up!	Level up!	Level up!	Level up!		Level up!	Seviye Atladın!			
5096	End song	End song	End song	Finalizar música	End song	End song		End song	Çıkış yap			
5097	Confirm	Confirm	Confirm	Confirm	Confirm	Confirm		Confirm	Onayla			
5098	APP SETTINGS	APP SETTINGS	APP SETTINGS	APP SETTINGS	APP SETTINGS	APP SETTINGS		APP SETTINGS	UYG. AYARLARI			
5099	See More !	See More	See More	See More	See More	See More	See More	See More	See More			
5100	Christmas Packs	Christmas Packs	Christmas Packs	Christmas Packs	Christmas Packs	Christmas Packs	Christmas Packs	Christmas Packs	Christmas Packs			
5101	Play now	Play now	Play now	Play now	Play now	Play now	Play now	Play now	Play now			
//Select level												
6001	Piano Challenge 1	Piano Challenge 2	Piano Challenge 2	Piano Challenge 2	Piano Challenge 2	Piano Challenge 1	Piano Challenge 2	Piano Challange 2	Piano Challange 2			
6002	A truly Free-To-Play piano game with beautiful songs. Install now and enjoy!	A truly Free-To-Play piano game with beautiful songs. Install now and enjoy!	Game piano miễn phí với hàng loạt bài hát hay. Cài đặt và trải nghiệm ngay!	Um verdadeiro jogo free-to-play com lindas músicas. Instale agora e divirta-se!	Бесплатная игра о фортепианной музыке с прекрасными песнями. Установите и играйте!	Un juego de piano completamente grátis para jugar con hermosas canciones. ¡Instalalo ahora y disfrutalo!	Un jeu de piano gratuit avec des chansons magnifiques. Installez maintenant et profitez !	Ein wirklich kostenloses Piano Spiel mit wundervollen Songs. Hole es dir jetzt! 	Muhteşem şarkıların bulunduğu Free To Play oyun. Hemen dene.			
6003	Log in to have more advanced features and 20 Ruby bonus for first time login	Log in to have more advance features and 20 Ruby bonus for first time login	Đăng nhập để trải nghiệm nhiều tính năng hơn và nhận ngay 20 Ruby cho lần đầu/ cho lần đăng nhập đầu	Faça login para ter acesso a funções avançadas do jogo e ganhe um bônus de 20 Ruby ao logar pela primeira vez	Войдите в игру, чтобы получить продвинутые возможности и бонус в 20 рубинов за первый вход	Inicia sesión para tener más funciones avanzadas y 20 Rubí de bono por la primera vez que accedas	Connectez-vous pour avoir plus de fonctionnalités et obtenez 20 Rubis pour votre première connexion	Meld dich an um alle Funktionen freizuschalten! Du erhälst 20 Rubine für deine erste Anmeldung	Kaydolursan 20 Elmas hediye ediyoruz, ve başka özellikleri açıyoruz.			
6004	More friends more fun	More friends more fun	Càng đông càng vui	Mais amigos mais diversão	Чем больше друзей, тем веселее	Más amigos más diversión	Plus d'amis, plus de fun	Mehr Freunde, mehr Spaß	Ne kadar arkadaş o kadar eğlence			
6005	We love hearing from you! Anything anytime	We love hearing from you! Anything anytime	Nói cho tớ nghe những gì bạn nghĩ nào!	Nós amamos ouvir de você! Qualquer coisa a qualquer momento	Мы всегда рады вас слышать! Пишите нам по любому поводу	Nos encanta escuchar de usted! Cualquier cosa en cualquier momento	On adore entendre votre avis ! N'importe quoi, n'importe quand	Wir freuen uns sehr von dir zu hören! 	Sizin önerilerinizi duymak istiyoruz! Her zaman, istediğin her şey			
6006	Select a song to play	Select a song to play	Chọn bài hát	Selecione uma musica para jogar	Выберите песню для игры	Seleccione una canción para Jugar	Séléctionnez la chanson que vous voulez jouer	Wähle eine Song zum spielen	Oynamak için bir şarkı seç			
6007	Select a difficulty	Select a difficulty	Chọn độ khó	Selecione uma dificuldade	Выберите уровень сложности	Seleccione una dificultad	Séléctionnez une difficulté	Wähle eine Schwierigkeitsstufe	Zorluk seç			
6008	Change Theme	Change Theme ?	Đổi giao diện?	Mudar tema	Сменить тему	Cambiar tema	Changer de thème 	Hintergrund ändern	Tema Değiştir			
6009	Hey! Do you want to buy this song?	Hey! Do you want to buy this song?	Mua bài này hông nè?	Hey! Você quer comprar esta música?	Эй! Хотите купить эту песню?	¡Oye! ¿Quieres comprar esta canción?	Hey ! Voulez-vous acheter cette chanson ?	Hey! Möchtest du diesen Song kaufen?	Bu şarkıyı satın almak istiyor musun?			
6010	Do you want to play the tutorial?	Do you want to play the tutorial?	Xem hướng dẫn nhé	Você quer jogar o tutorial?	Хотите пройти обучение?	¿Quieres jugar el tutorial?	Voulez-vous jouer au tutoriel ?	Möchtest du das Turtorial spielen?	Nasıl oynanacağını görmek ister misiniz?			
6011	Let's play!	Let's play!	Tới luôn!	Vamos jogar!	Сыграем!	¡Vamos a jugar!	Jouons !	Spielen!	Hadi oynayalım!			
6012	Hey! Wanna buy this theme?	Hey! Wanna buy this theme?	Mua giao diện này nhé?	Hey! Você quer comprar este tema?	Эй! Хотите купить эту тему?	¡Oye! ¿Quieres comprar este tema?	Hey ! Voulez-vous acheter ce thème ?	Hey! Möchtest du diesen Hintergrund kaufen?	Temayı satın almak ister misin?			
6013	You can customize the theme while playing	You can customize the theme while playing	Biết gì chưa? Bạn có thể thay đổi giao diện đó	Você pode customizar o tema enquanto joga	Вы можете настроить тему во время игры	Puedes personalizar el tema mientras juegas	Vous pouvez changer de thème pendant que vous jouez	Sie können den Hintergrund während dem Spiel anpassen	Oynadığın temayı değiştirebilirsin!			
6014	Try it!	Try it!	Thử cái nào	Experimente!	Попробуйте!	¡Intentalo!	Essayez-le !	Probier es!	Hadi dene!			
6015	Unlock all premium songs	Unlock all premium songs	Unlock all premium songs	Desbloquear todas músicas premium	Открыть все премиум-песни	Desbloquear todas las canciones premium	Débloquez toutes les chansons prémium	Schalte alle Premium Songs frei	Tüm premium şarkıları aç			
6016	Collection	Collection	Collection	Song list	Collection	Song list	Song list	Song list	Şarkı listesi			
//Leaderboard												
7001	Global 	Global 	Global 	Global 	Global 	Global 	Global 	Global 	Global 			
7002	Friends	Friends	Friends	Friends	Friends	Amigos	Friends	Freunde	Arkadaşlar			
//Inbox												
8001	Gifts are stored up to 7 days	Gifts are stored up to 7 days	Nhớ lấy quà trong vòng 7 ngày nhé	Presentes são armazenados por até 7 dias	Подарки хранятся до 7 дней	Los regalos se almacenan hasta 7 días	Les cadeaux sont stockés jusqu'à 7 jours	Geschenke werden 7 Tage gespeichert	Hediyeler 7 gün boyunca muhafaza edilir.			
8002	A month ago	一ヶ月前	Một tháng trước	Um mês atrás	Месяц назад	Hace un mes	Il y a un mois	Vor einem Monat	1 Ay önce			
8003	A week ago	1週間前	Một tuần trước	Uma semana atrás	Неделю назад	Hace una semana	Il y a une semaine	Vor einer Woche	1 Hafta önce			
8004	A day ago	日前	Một ngày trước	Ontem	Вчера	Hace un día	Il y a un jour	Vor einem Tag	1 Gün önce			
8005	A minute ago	A minute ago	A minute ago	Um minuto atrás	Минуту назад	 Hace un minuto	Il y a une minute	Vor einer Minute	1 Dakika önce			
8006	{0} minutes ago	{0}分前	{0} phút trước	{0} minutos atrás	{0} мин. назад	 Hace {0} minutos	Il y a {0} minutes	Vor {0} Minuten	{0} Dakika önce			
8007	An hour ago	1時間前	Một tiếng trước	Uma hora atrás	Час назад	Hace una hora	Il y a une heure	Vor einer Stunde	Bir saat önce			
8008	{0} hours ago	{0}時間前	{0} giờ trước	{0} horas atrás	{0} час. назад	Hace {0} horas	Il y a {0} heures	Vor {0} Stunden	{0} Saat önce			
8009	{0} days ago	{0}日前	{0} ngày trước	{0} dias atrás	{0} дн. назад	Hace {0} días	Il y a {0} jours	Vor {0} tagen	{0} Gün önce			
8010	Inbox	Inbox	Inbox	Inbox	Inbox	Bandeja de entrada	Inbox	Posteingang	Gelen kutusu			
//Option												
9001	Volume	音量	Âm lượng	Volume	Громкость	Volumen	Le volume	Lautstärke	Ses Seviyesi			
9002	Vibrate	Vibrate	Độ rung	Vibrar	Вибрация	Vibración	Vibrer	Vibration	Titreşim			
9003	Effect	Effect	Hiệu ứng	Efeito	Эффект	Efecto	Effet	Effekte	Efekt			
9004	Calibration	Calibration	Định chuẩn	Calibração	Калибровка	Calibración	Étalonnage	Kalibrierung 	Kalibrasyon			
9005	Tutorial	Tutorial	Hướng dẫn	Tutorial	Обучение	Tutorial	Didacticiel	Hilfe	Ögretici			
9006	Restore Premium	Restore Premium	Khôi phục Premium	Restaurar premium	Восстановить премиум	Restaurar Premium	Rétablir compte prémium	Premium wiederherstellen	Hesabını Geri Yükselt			
9007	On	On	Bật	Ligar	Вкл	Encendido	Oui	An	Açık			
9008	Off	Off	Tắt	Desligar	Выкл	Apagado	Non	Aus 	Kapalı			
9010	HD Graphic	HD Graphic	HD Graphic	Gráfico HD	HD-графика	Gráfico HD	Graphisme HD	HD Grafik	HD Grafikler			
9011	Shake/Slash	Shake/Slash	Shake/Slash	Agitar/Sacudir	Взмах/Встряска	Agitar / cortar	Secouer / Slash	Schütteln / Slash	Sallama/Kesme			
9012	Language	Language	Language	Língua	язык	Lenguaje	La langue	Sprache	Dil			
//Popup Messages												
10001	Welcome back	Welcome back	Ơn giời, bạn đây rồi!	Bem vindo de volta!	С возвращением	Bienvenido de nuevo	Bienvenue	Wilkommen zurück	Hoşgeldin!			
10002	We have some perks for you	We have some perks for you	Có vài điều hay ho cho bạn đây	Nós temos algumas regalias pra você	У нас есть для вас перки	Tenemos algunas ventajas para usted	Nous avons des cadeaux pour vous	Wir haben ein paar Angebote für dich	Senin için bazı perklerimiz var.			
10003	Buy subscription to unlock all VIP song	Buy subscription to unlock all VIP song	Mua vài viên Ruby nhé?			Compra la suscripción para desbloquear todas las canciones VIP		Kaufe ein Abo um alle Vip-Songs freizuschalten.				
10004	Do you want to by some Coin?	Do you want to by some Coin?	Mua thêm xu không nào?	Você quer comprar algumas moedas?	Хотите купить монет?	¿Quieres comprar Monedas?	Voulez-vous acheter des pièces ?	Möchtest du ein paar Münzen kaufen?	Bir kaç tane sikke satın almak ister misin?			
10005	Not enough Ruby to buy	Not enough Ruby to buy	Không đủ Ruby rồi	Ruby insuficientes para comprar	Не хватает рубинов для покупки	No hay suficiente Rubí para comprar	Pas assez de Rubis	Nicht genügend Rubine zum kauf vorhanden	Almaya yetecek kadar zümrüdün yok			
10006	Not enough Coin to buy	Not enough Coin to buy	Không đủ Xu rồi	Moedas insuficientes para comprar	Не хватает монет для покупки	No hay suficientes Monedas para comprar	Pas assez de pièces	Nicht genügend Münzen zum kauf vorhanden	Almaya yetecek kadar sikken yok.			
10007	As new users, you're entitled to buy special package for ONLY 24 HOURS. Double benefits with just the same price! HURRY UP!	As new users, you're entitled to buy special package for ONLY 24 HOURS. Double benefits with just the same price! HURRY UP!	Này người mới, bạn có thể mua gói đặc biệt trong vòng 24 giờ đó. Giá vẫn vậy mà lợi ích nhân đôi. Mua liền!	Como novo usuário, você é selecionado a comprar um pacote EM ATÉ 24 horas. Duplique os benefícios com o mesmo.	Как новый пользователь вы можете купить особый набор ТОЛЬКО В СЛЕД. 24 ЧАСА Вдвое больше бонусов по той же цене! ТОРОПИТЕСЬ!	Como nuevo usuario, usted tiene derecho a comprar un paquete especial por SOLO 24 HORAS. Dobles beneficios con el mismo precio! ¡DATE PRISA!	En tant que nouveau joueur, vous pouvez acheter ce pack spécial pendant 24 HEURES. Avantage double pour le même prix ! Dépêchez-vous !	Als eine neuer User kannst du für nur 24 Stunden ein Spezialpaket kaufen! Doppelte Vorteile für einen Preis. Beeil dich! 	24 Saat Özel Promosyonu! Yeni kullanıcılar için 24 saat boyunca aldığı zümrüt sayısını ikiye katlıyoruz! ACELE ET!			
10008	Thanks for purchasing premium song. Please login to store your data so that you can restore premium songs in the future when needed.	Thanks for purchasing premium song. Please login to store your data so that you can restore premium songs in the future when needed.	Thanks for purchasing premium song. Please login to store your data so that you can restore premium songs in the future when needed.	Obrigado por comprar essa música premium. Por favor, faça login para armazenar seus dados e então você poderá utilizar as musicas premium no futuro, quando precisar.	Thanks for purchasing premium song. Please login to store your data so that you can restore premium songs in the future when needed.	Thanks for purchasing premium song. Please login to store your data so that you can restore premium songs in the future when needed.	Thanks for purchasing premium song. Please login to store your data so that you can restore premium songs in the future when needed.	Danke für den Kauf eines Premium-Songs! Bitte logge dich ein, damit du deine Premium-Songs später wiederherstellen kannst wenn du sie brauchst.	Premium şarkı satın aldığınız için tebrik ederiz. Bu şarkıları başka cihaza geçtiğinizde kaybetmemeniz için giriş yapmanızı öneririz.			
10009	Unfortunately, this song is not shared by all people in your room. Please select another one.	Unfortunately, this song is not shared by all people in your room. Please select another one.	Unfortunately, this song is not shared by all people in your room. Please select another one.	Infelizmente esta música não está compartilhada para todas as pessoas em sua sala. Por favor, escolha outra 	Unfortunately, this song is not shared by all people in your room. Please select another one.	Unfortunately, this song is not shared by all people in your room. Please select another one.	Unfortunately, this song is not shared by all people in your room. Please select another one.	Leider haben einige Spieler in diesem Raum den Song nicht.. Bitte wähle einen anderen.	Kusura bakmayın, ama bu şarkıya odadaki herkez sahip değil.			
10010	Are you sure want to exit?	Are you sure want to exit?	Are you sure want to exit?	Você deseja sair?	Are you sure want to exit?	Are you sure want to exit?	Are you sure want to exit?	Are you sure want to exit?	Çıkış yapmak istediğinize emin misiniz?			
10011	To better the game's performance and offer a customized user experience, after closing this pop-up, we will request permission: \n \n Storage	To better the game's performance and offer a customized user experience, after closing this pop-up, we will request permissions: \n \n Storage	To better the game's performance and offer a customized user experience, after closing this pop-up, we will request permissions: \n \n Storage	To better the game's performance and offer a customized user experince, after closing this pop-up, we will request a permission: \n \n Storage	To better the game's performance and offer a customized user experience, after closing this pop-up, we will request permissions: \n \n Storage	To better the game's performance and offer a customized user experince, after closing this pop-up, we will request a permission: \n \n Storage	To better the game's performance and offer a customized user experince, after closing this pop-up, we will request a permission: \n \n Storage	To better the game's performance and offer a customized user experince, after closing this pop-up, we will request a permission: \n \n Storage	To better the game's performance and offer a customized user experince, after closing this pop-up, we will request a permission: \n \n Storage			
10012	You can not back here!	You can not back here!	You can not back here!	You can not back here!	You can not back here!	You can not back here!	You can not back here!	You can not back here!	You can not back here!			
10013	To better the game's performance and offer a customized user experience, after closing this pop-up, we will request permission: \n-Storage	To better the game's performance and offer a customized user experience, after closing this pop-up, we will request permissions: \n-Storage	To better the game's performance and offer a customized user experience, after closing this pop-up, we will request permissions: \n-Storage	To better the game's performance and offer a customized user experince, after closing this pop-up, we will request permission: \n-Storage 	To better the game's performance and offer a customized user experience, after closing this pop-up, we will request permissions: \n-Storage	Para mejorar el rendimiento del juego y ofrecer una experiencia de usuario personalizada, después de cerrar este pop-up, solicitaremos permisos: \ n-Storage 	Afin d’améliorer les performances du jeu et offrir une expérience utilisateur personnalisée, nous aurons besoin des autorisations suivantes après la fermeture de cette fenêtre : \n-Stockage	Um die Performance des Spiels zu verbessern und ein maßgeschneidertes Benutzererlebnis zu bieten, fragen wir nach dem Schließen dieses Popups nach Berechtigungen: \n-Storage 	Oyun performansını ve özelleştirilmiş bir oyun tecrübesi için bu popup'u kapattıktan sonra, sizden şunlar için izin isteyeceğiz \n-Depolama			
10014	To better the game's performance and offer a customized user experience, after closing this pop-up, we will request permission: \n-Storage\nPlease click on App Setting and follow our intructions below to grant us permission	To better the game's performance and offer a customized user experience, after closing this pop-up, we will request permissions: \n-Storage\nPlease click on App Setting and follow our intructions below to grant us permission	To better the game's performance and offer a customized user experience, after closing this pop-up, we will request permissions: \n-Storage\nPlease click on App Setting and follow our intructions below to grant us permission	To better the game's performance and offer a customized user experince, after closing this pop-up, we will request permission: \n-Storage\nPlease click on App Setting and follow our intructions below to grant us permission	To better the game's performance and offer a customized user experience, after closing this pop-up, we will request permissions: \n-Storage\nPlease click on App Setting and follow our intructions below to grant us permission	Para mejorar el rendimiento del juego y ofrecer una experiencia de usuario personalizada, después de cerrar esta ventana emergente, solicitaremos permisos: \ n-Almacenamiento \ nPor favor, haga clic en Configuración de la aplicación y siga nuestras instrucciones a continuación para conceder permiso	Afin d’améliorer les performances du jeu et offrir une expérience utilisateur personnalisée, nous aurons besoin des autorisations suivantes après la fermeture de cette fenêtre : \n-Stockage\nVeuillez cliquer sur App Settings et suivre les instructions indiquées pour nous garantir l’accès	Um die Performance des Spiels zu verbessern und ein maßgeschneidertes Benutzererlebnis zu bieten, fragen wir nach dem Schließen dieses Popups nach Berechtigungen: \n-Storage\n Bitte klicken Sie auf App Setting und folgen Sie unseren Anweisungen unten, um uns die Erlaubnis zu erteilen	Oyun performansını iyileştirmek ve özelleştirilmiş bir oyun tecrübesi için bu popup'u kapattıktan sonra sizden şunlar için izin isteyeceğiz \n-Depolama\nLütfen uygulama ayarlarına giriniz ve talimatlara uyarak bu ayarlara izin veriniz			
10015	We are sorry! \nWe does not support friend invitation via Google+ \n You still can add friend by internal invitation	We are sorry! \nWe does not support friend invitation via Google+ \n You still can add friend by internal invitation	We are sorry! \nWe does not support friend invitation via Google+ \n You still can add friend by internal invitation	We are sorry! \nWe does not support friend invitation via Google+ \n You still can add friend by internal invitation	We are sorry! \nWe does not support friend invitation via Google+ \n You still can add friend by internal invitation	We are sorry! \nWe does not support friend invitation via Google+ \n You still can add friend by internal invitation	We are sorry! \nWe does not support friend invitation via Google+ \n You still can add friend by internal invitation	We are sorry! \nWe does not support friend invitation via Google+ \n You still can add friend by internal invitation	We are sorry! \nWe does not support friend invitation via Google+ \n You still can add friend by internal invitation	We are sorry! \nWe does not support friend invitation via Google+ \n You still can add friend by internal invitation		
10016	Unfortunately, your facebook login session has been expired \nPlease re-login your facebook to help us improve your game performance.	Unfortunately, your facebook login session has been expired \nPlease re-login your facebook to help us improve your game performance.	Unfortunately, your facebook login session has been expired \nPlease re-login your facebook to help us improve your game performance.	Unfortunately, your facebook login session has been expired \nPlease re-login your facebook to help us improve your game performance.	Unfortunately, your facebook login session has been expired \nPlease re-login your facebook to help us improve your game performance.	Unfortunately, your facebook login session has been expired \nPlease re-login your facebook to help us improve your game performance.	Unfortunately, your facebook login session has been expired \nPlease re-login your facebook to help us improve your game performance.	Unfortunately, your facebook login session has been expired \nPlease re-login your facebook to help us improve your game performance.	Unfortunately, your facebook login session has been expired \nPlease re-login your facebook to help us improve your game performance.			
//Game play, result												
11001	Best Combo	Best Combo	Bấm liên tiếp	melhor Combo	Лучшее комбо	Mejor Combo	Meilleur combo	Beste Combo	En iyi kombo			
11002	Hit rate	Hit rate	Độ chính xác	taxa de acerto	Процент попаданий	Aciertos	Taux de succès	Trefferquote	İsabet oranı			
11003	Random a song	Random a song	Ngẫu nhiên 1 bài	Uma música aleatória	Случайная песня	Canción aleatoria	Chanson aléatoire	Zufälliger Song	Rastgele Şarkı			
11004	Songbook	Songbook	Danh sách bài hát	Lista de músicas	Сборник песен	Lista de Música	Livre de chansons	Songbuch	Şarkılar			
11005	Earn {0} Rubies	Earn {0} Rubies	Nhận {0} Ruby	Ganhe {0} Ruby	Заработайте рубины: {0}	Gana {0} Rubíes	Gagnez {0} Rubis	Bekomme {0} Rubine	{0} Elmas kazan			
11006	LOGIN IN TO COMPARE THE RESULT WITH FRIENDS	FRIENDS WITH RESULTを比較するためにログイン	ĐĂNG NHẬP TRÊN SO SÁNH KẾT QUẢ VỚI BẠN BÈ	Faça login para comparar o seu resultado com amigos	ВОЙДИТЕ, ЧТОБЫ СРАВНИТЬ СВОЙ РЕЗУЛЬТАТ С ДРУЗЬЯМИ	INICIAR PARA COMPARAR EL RESULTADO CON AMIGOS	CONNECTEZ-VOUS POUR COMPARER VOTRE RESULTAT AVEC VOS AMIS	Melde dich an um dich mit deinen Freunden zu messen	ARKADAŞLARINLA SONUCUNU KARŞILAŞTIRMAK IÇIN GİRİŞ YAP			
11007	Home	家	Màn hình chính	Início	Домой	Início	Accueil	Zuhause	Ev			
//Challenge, InboxManager												
12001	Invitation	Invitation	Lời mời	Convite	Приглашение	Invitación	Invitation	Einladung  	Davet			
12002	In a day, you can send 1 challenge to each friend. Only after the challenge is complete, can you send another one	In a day, you can send 1 challenge to each friend. Only after the challenge is complete, can you send another one	Bạn có thể thách đấu mỗi người bạn một lần trong ngày. Chỉ khi lượt đấu kết thúc, bạn mới có thể tiếp tục thách đấu	Em um dia, você pode enviar 1 desafio para cada amigo. Somente depois do desafio completado, você poderá enviar outro.	Вы можете бросать вызов каждому из друзей 1 раз в день. Бросить новый можно только закончив старый.	En un día, sólo puedes enviar 1 desafío a cada amigo. Sólo después de completar el reto, puedes enviar otro.	Chaque jour, vous pouvez envoyer un défi à chaque ami. Vous pouvez en renvoyer un quand celui d'avant a été terminé.	Du kannst jeden Tag eine Herausforderung an einen Freund senden. Erst wenn diese Herausforderung abgeschlossen ist kannst du eine neue senden.	Bir gün içinde tüm arkadaşlarına 1 tane meydan okuma gönderebilirsin.Bir meydan okuma tamamlandıktan sonra ikinci kez meydan okuyabilirsin.			
12003	You have 24 hours to accept your friend challenges	You have 24 hours to accept your friend challenges	Bạn có 24 giờ để chấp nhận lời thách đấu từ bạn bè	Você tem 24 horas para aceitar os desafios dos amigos	У вас есть 24 часа на то, чтобы принять вызов друга	Tienes 24 horas para aceptar tus desafíos de amigos	Vous avez 24 heures pour accepter vos défis.	Du hast 24 Stunden um diese Herausforderung zu beantworten	Arkadaşının meydan okumasını kabul etmek için 24 saatin var.			
12004	Accept	Accept	Chấp nhận	Aceitar	Принять	Aceptar	Accepter	Akzeptieren	Kabul Et			
12005	Ignore	Ignore	Ignore	Ignore	Ignore	Ignore	Ignore	Ignore	Ignore			
12006	How much Ruby do you wanna bet?	How much Ruby do you wanna bet?	Bạn muốn cược bao nhiêu Ruby?	Quantos Ruby você quer apostar?	Сколько рубинов вы хотите поставить?	¿Cuánto Rubí quieres apostar?	Combien de Rubis voulez-vous parier ?	Wie viele Rubine möchtest du setzen?	Kaç Elması ortaya oynamak istiyorsun?			
12007	Ruby will be deposited to start the challenge	Ruby will be deposited to start the challenge	Ruby sẽ được thu để bắt đầu trận đấu	Ruby serão depositados para iniciar o desafio	Рубины будут взяты в залог для запуска испытания	El Ruby será depositado para comenzar el reto	Les Rubis seront mis en dépôt pour commencer le défi	Die Rubine werden zur Seite gelegt, damit die Herausforderung beginnen kann	Meydan okumayı başlatmak için Elmas harcanır.			
